result,c1,c2,c3,c4,c5
Win,Lux,Darius,Pyke,Kai'Sa,Vladimir
Win,Kai'Sa,Tahm Kench,Olaf,Gangplank,Lucian
Win,Braum,Renekton,Darius,Nidalee,Graves
Win,Thresh,Xayah,Aatrox,Lulu,Graves
Win,Alistar,Jarvan IV,Twisted Fate,Irelia,Ezreal
Win,Kai'Sa,Lee Sin,Cassiopeia,Gangplank,Morgana
Win,Zoe,Sona,Tryndamere,Teemo,Ezreal
Win,Cassiopeia,Jax,Morgana,Jhin,Soraka
Win,Camille,Twisted Fate,Vladimir,Jhin,Soraka
Win,Aurelion Sol,Kha'Zix,Lulu,Nunu,Zoe
Win,Lucian,Xin Zhao,Nami,Singed,Swain
Win,Elise,Gangplank,Varus,Morgana,Swain
Win,Karthus,Ezreal,Jax,Soraka,Olaf
Win,Vladimir,Morgana,Jhin,Irelia,Vladimir
Win,Xayah,Malzahar,Skarner,Rakan,Vladimir
Win,Lee Sin,Talon,Ezreal,Soraka,Renekton
Win,Kai'Sa,Karma,Taliyah,Trundle,Renekton
Win,Aurelion Sol,Ezreal,Morgana,Jayce,Taliyah
Win,Caitlyn,Kha'Zix,Morgana,Cho'Gath,Kai'Sa
Win,Irelia,Lee Sin,Alistar,Ryze,Jax
Win,Karma,Irelia,Yasuo,Ezreal,Jax
Win,Shen,Pyke,Talon,Lee Sin,Graves
Win,Olaf,Vladimir,Alistar,Kog'Maw,Trundle
Win,Morgana,Ezreal,Lulu,Dr. Mundo,Twisted Fate
Win,Graves,Aatrox,Kog'Maw,Lulu,Twisted Fate
Win,Rakan,Lucian,Sejuani,Jhin,Irelia
Win,Soraka,LeBlanc,Ezreal,Xin Zhao,Ornn
Win,Jax,Ezreal,Nocturne,Pyke,Lucian
Win,Nocturne,Jayce,Braum,Singed,Lucian
Win,Taliyah,Lucian,Singed,Xin Zhao,Annie
Win,Galio,Ahri,Bard,Kog'Maw,Wukong
Win,Quinn,Caitlyn,Pantheon,Xin Zhao,Rakan
Win,Xin Zhao,Kai'Sa,Heimerdinger,Talon,Rakan
Win,Karma,Alistar,Pantheon,Rumble,Malphite
Win,Yasuo,Fiddlesticks,Trundle,Kennen,Malphite
Win,Garen,Corki,Xin Zhao,Jhin,Caitlyn
Win,Braum,Camille,Rumble,Fizz,Caitlyn
Win,Xerath,Taliyah,Pyke,Kai'Sa,Kennen
Win,LeBlanc,Morgana,Ezreal,Poppy,Yasuo
Win,Singed,Nidalee,Morgana,Kai'Sa,Yasuo
Win,Skarner,Jax,Karthus,Morgana,Alistar
Win,Graves,Karma,Kai'Sa,Draven,Azir
Win,Malphite,Irelia,Lux,Warwick,Kassadin
Win,Rakan,Kai'Sa,Jax,Lee Sin,Camille
Win,Karthus,Heimerdinger,Kai'Sa,Lulu,Talon
Win,Kalista,Xin Zhao,Pyke,Singed,Talon
Win,Alistar,Kha'Zix,Ezreal,Irelia,Ezreal
Win,Trundle,Singed,Vladimir,Morgana,Lissandra
Win,Janna,Ezreal,Camille,Xin Zhao,Lissandra
Win,Xayah,Trundle,Fiora,Karma,Rakan
Win,Skarner,Twisted Fate,Caitlyn,Janna,Renekton
Win,Singed,Ezreal,Braum,Kennen,Fiddlesticks
Win,Renekton,Singed,Xayah,Karma,Zyra
Win,Karma,Ezreal,Udyr,LeBlanc,Kha'Zix
