name,ranking,tier,LP,level,win,lose,winratio
³²µ¿Çö,129,Challenger,524,139,759,708,52%
¼öºÐ¹Ì³×¶ö,130,Challenger,523,78,363,300,55%
real gankster,131,Challenger,518,116,632,586,52%
Empty9,132,Challenger,517,140,526,483,52%
HLE Kuzan,133,Challenger,517,113,506,454,53%
¸àÅ»ÀâÀÚÀ¸›XÀ¸›X,134,Challenger,517,121,503,454,53%
±Ö¼öÈ£ÀÚ ¸¸±â,135,Challenger,517,74,218,166,57%
KT Mia,136,Challenger,516,111,647,562,54%
´ºÆ® ÁÖ´Ï¾î,137,Challenger,514,88,291,232,56%
¹Â¹Ç¸®Åõ½´,138,Challenger,513,127,755,699,52%
18501159717,139,Challenger,483,63,233,175,57%
handcIap,140,Challenger,508,74,324,276,54%
Ä«Æäº£³×¼³ÅÁµµµÏ,141,Challenger,508,92,275,224,55%
thgink9,142,Challenger,507,80,483,331,59%
DragonSky,143,Challenger,506,144,625,578,52%
À¯³ëÀ¯Å°,144,Challenger,506,63,266,184,59%
WNS NiGHT,145,Challenger,506,99,208,141,60%
»êÀ°»ìÀ°,146,Challenger,522,165,926,889,51%
BeterThanNothing,147,Challenger,505,103,457,419,52%
Å·Á¸ ¹°¸¸µÎ,148,Challenger,502,71,304,266,53%
¸Ô´Â°ÔÁñ°Å¿ö,149,Challenger,501,125,517,464,53%
lJlJlJlJ,150,Challenger,501,134,602,545,52%
ºÎÈ¸Àå¿Ö±×·²±î,151,Challenger,500,72,259,200,56%
°ËÀº¸Ó¸®»ç³ªÀÌ,152,Challenger,499,76,315,260,55%
¿ÂÀÚÀÌÁ·,153,Challenger,481,128,762,711,52%
Xx fans,154,Challenger,493,88,301,259,54%
JAG UmTi,155,Challenger,491,101,371,313,54%
S2vely,156,Challenger,491,93,231,171,57%
KT MATA,157,Challenger,491,58,104,61,63%
Born to dead,158,Challenger,490,88,452,382,54%
¼¯°í¼¯°íµ¹¸®²¿,159,Challenger,489,81,368,312,54%
Ä³¸®¿è,160,Challenger,431,68,267,213,56%
BtC OnFleek,161,Challenger,466,45,129,61,68%
¾ç¾ç¾Æ±â,162,Challenger,482,70,315,230,58%
¹Ì°ï°³ ³ª°¥²¿³Ä,163,Challenger,481,106,493,440,53%
First start,164,Challenger,481,100,190,137,58%
ÇÏ´ÃºÎÅÍ ¶¥±îÁö,165,Challenger,497,49,160,88,65%
¸¶À½ÀÌ¾ÆÇÂ °í·¡,166,Challenger,480,153,672,623,52%
Liu xiao you,167,Challenger,480,69,350,261,57%
¿±ºÏÀÌ,168,Challenger,477,93,410,354,54%
Ivileye,169,Challenger,475,120,589,524,53%
CheonGo,170,Challenger,475,63,307,202,60%
ÇÁÁ¦Â¯,171,Challenger,472,114,466,417,53%
À²Ãµ°í ÃÖÇö¿ì,172,Challenger,469,155,465,418,53%
Juan OVO,173,Challenger,468,72,247,191,56%
FW Maple,174,Challenger,468,88,201,154,57%
lwandy,175,Challenger,461,196,1072,1009,52%
whckiop,176,Challenger,460,79,315,271,54%
TOP Ggoong,177,Challenger,452,108,502,455,52%
¿äÇÃ·¡,178,Challenger,448,84,369,331,53%
³ª¿¡°Ô ±âÈ¸¸¦,179,Challenger,447,121,492,436,53%
htebaziIE,180,Challenger,447,97,419,375,53%
Destiny,181,Challenger,446,96,367,318,54%
TT º¸¹è,182,Challenger,445,133,781,736,51%
Hichael Dackson,183,Challenger,444,94,372,334,53%
Huya CaiqiKate,184,Challenger,442,119,634,581,52%
WithApd,185,Challenger,442,82,238,116,67%
Lakhesis,186,Challenger,440,83,413,363,53%
douyu1097151,187,Challenger,457,122,744,700,52%
Hellohowareyou,188,Challenger,436,65,180,127,59%
¸ù ¸ù,189,Challenger,432,62,206,144,59%
¿À¶Ñ±â3ºÐ¹ÌÆ®º¼,190,Challenger,432,68,197,147,57%
¼¾¼¾S2,191,Challenger,430,112,368,322,53%
Foy,192,Challenger,418,146,781,706,53%
  irmaking,193,Challenger,426,71,340,261,57%
À±¼Ò¿Ï,194,Challenger,425,124,738,692,52%
Shi  Yue,195,Challenger,406,85,241,185,57%
KZ Rascal,196,Challenger,414,172,961,897,52%
Gen G CoreJJ,197,Challenger,416,132,611,518,54%
imcutedontcome,198,Challenger,415,108,583,525,53%
Steel9,199,Challenger,348,138,887,842,51%
³²Æ÷µ¿Æ÷µ¿Æ÷µ¿,200,Challenger,347,97,295,248,54%
½Ã¸¶½Ã¸¶ ÇÏ³ªÄÚ,201,Master,454,93,252,207,55%
Gen G cuvee,202,Master,441,138,687,643,52%
¹«°Ô¸¦ °ßµ®¶ó,203,Master,433,131,514,460,53%
jg thx plz,204,Master,462,61,285,244,54%
loc1234567,205,Master,422,73,338,304,53%
Àý´ëÂ¥Áõ³»Áö¾Ê±â,206,Master,421,118,624,572,52%
baby Tangyuan,207,Master,421,88,560,497,53%
WE 77,208,Master,420,83,465,354,57%
Goldguns ÇÏ,209,Master,420,69,356,252,59%
MAD¾ÆÀÎ½´Å¸ÀÎ,210,Master,417,133,843,805,51%
taesang,211,Master,415,193,1050,1004,51%
Equality 7 2521,212,Master,414,52,171,108,61%
veryverycold,213,Master,447,71,275,229,55%
cyeol,214,Master,411,165,592,550,52%
³Ê ¾øÀÌµµ ,215,Master,425,131,639,603,51%
ÇýÁö±â¿©¿ö,216,Master,407,79,314,264,54%
¸íjhinÀÌ,217,Master,406,175,919,872,51%
ÀÌ Â÷°¡ ½Ä±âÀü¿¡,218,Master,403,111,471,423,53%
¿ì¸£ÇÁrider,219,Master,437,213,1431,1390,51%
¿¬·á º¸±Þ,220,Master,402,133,870,818,52%
mei you da long,221,Master,401,85,359,315,53%
2188,222,Master,399,132,698,652,52%
Tank XD,223,Master,418,110,559,518,52%
Ask ¼¶Áý¾Æ±â°õ,224,Master,395,96,229,179,56%
Rainbow22,225,Master,393,105,418,372,53%
LPL Cuvee,226,Master,393,110,409,358,53%
Ä¿ÇÇ¹°Á¶ÀýÀåÀÎ,227,Master,392,177,828,788,51%
Afreeca Spirit,228,Master,359,111,356,317,53%
Gen G Life,229,Master,374,229,1126,1032,52%
NoYuiNoBABYMETAL,230,Master,385,88,436,390,53%
I can win win,231,Master,396,75,428,344,55%
¹«¼­¿î ¹ì µ¶,232,Master,381,70,145,107,58%
Á¤»óÀûÀÎ ½ÉÀå,233,Master,379,146,663,620,52%
Mupago,234,Master,379,95,514,436,54%
asdojaiosjdo,235,Master,378,183,839,797,51%
Tarzan2,236,Master,378,130,626,556,53%
Deft12345678,237,Master,376,85,406,346,54%
»× Çü,238,Master,374,154,792,731,52%
6ÇÐ³â4¹ÝÀå¿ëÁØ,239,Master,374,105,374,341,52%
Independenceday1,240,Master,371,212,1232,1188,51%
¹ÌµåÇÁ·ÎÁö¸ÁÀÎ,241,Master,386,63,273,192,59%
È¥ÀÚ³î±âÀü¹®,242,Master,369,83,211,166,56%
Shibuya Haruka,243,Master,365,122,750,696,52%
BtC joker,244,Master,365,148,531,490,52%
°£ Ã÷,245,Master,362,107,208,152,58%
ulRD1,246,Master,360,184,1022,970,51%
APK Bonnie,247,Master,361,163,616,575,52%
´«¶°º¸´Ï³ë¶¥,248,Master,390,60,151,88,63%
California Life ,249,Master,335,124,495,451,52%
ke ai qi,250,Master,354,46,140,74,65%
´Ù°ÅÁþ¸»,251,Master,349,137,724,663,52%
ÀÇ ÁÖ,252,Master,345,152,511,467,52%
¼¼ºìÆ¾ ÇÏÀÌµò,253,Master,347,83,195,155,56%
jebgwjdrmfddlTDj,254,Master,330,134,720,673,52%
ÂÌ±êÇÑ ¿ìµ¿»ç¸®,255,Master,345,122,605,567,52%
IRespectEveryone,256,Master,345,68,271,238,53%
DWG Nuclear,257,Master,345,60,171,120,59%
always confident,258,Master,383,64,256,182,58%
AMANI,259,Master,343,136,765,719,52%
º½¿¡´ÂÂÞ²Ù¹Ì,260,Master,307,141,593,549,52%
¼¼¸Þ·Ð,261,Master,343,84,406,327,55%
KZ Squid,262,Master,343,111,363,253,59%
ÃáºÀ¹Ú,263,Master,337,60,209,172,55%
Åä¸£ ÆÒ´õ,264,Master,341,100,538,472,53%
Jin Alr Teddy,265,Master,339,75,288,255,53%
GIorie,266,Master,338,95,243,198,55%
WantgoLPLorLCK,267,Master,252,106,607,549,53%
CrazzyCat,268,Master,335,90,401,333,55%
¿¹¸®»ì·½,269,Master,333,68,215,155,58%
½ºÄÚÄ¡¾Ï¼¼Æ÷,270,Master,331,69,327,231,59%
qjy    QAQ,271,Master,328,110,454,414,52%
cherry cherry,272,Master,327,74,466,338,58%
³ªÄ«³ë ¿äÃ÷Ba,273,Master,326,140,745,699,52%
Gen G ¸ù,274,Master,326,130,588,531,53%
made me believer,275,Master,304,82,251,206,55%
HanGuo Xiao Daye,276,Master,324,86,284,237,55%
CuteBoy17,277,Master,323,104,650,586,53%
KabigonÆ÷ÄÏ¸ó,278,Master,321,100,543,506,52%
Æ÷¾²ÄÁµå,279,Master,321,104,333,274,55%
»ç¶÷ÇÑ»ç¶÷,280,Master,310,124,522,482,52%
BurgerDragon,281,Master,319,106,505,462,52%
No more disturb,282,Master,333,142,608,558,52%
GGamza,283,Master,316,123,579,531,52%
KDM Edge,284,Master,315,134,572,531,52%
TF Brave,285,Master,315,41,109,35,76%
³·¹ã¹Ù²Ù°í½Í¾î,286,Master,314,45,134,68,66%
PutongdeADC,287,Master,311,96,427,389,52%
³ªµµ¿µÈ¥¿¡±Ã½è¾î,288,Master,308,66,261,210,55%
Maguafu,289,Master,308,55,203,113,64%
±ÇÈñ¿ø,290,Master,306,74,301,244,55%
ShiaC,291,Master,304,175,1197,1157,51%
qi   baby,292,Master,304,68,221,140,61%
MeteorOvO,293,Master,303,122,544,499,52%
JJUN12,294,Master,303,90,205,166,55%
ÅÂÇ³EYE,295,Master,302,124,590,542,52%
Áø¿¡¾î Ä«Ä«¿À,296,Master,278,110,527,497,51%
Cabelo,297,Master,298,141,854,807,51%
Twitch Murthhlol,298,Master,298,104,547,478,53%
ÇãÂîÅ³,299,Master,297,114,394,347,53%
Sol·Î·©Å©,300,Master,297,80,207,149,58%
zhonggu0 niu bi ,301,Master,296,165,755,723,51%
»ì±â½Ã·¯¿ä,302,Master,295,108,470,406,54%
SKT T1 Blossom,303,Master,278,101,372,329,53%
JAG Grace,304,Master,294,125,512,476,52%
RWFL,305,Master,294,121,477,449,52%
BtC SoaR,306,Master,294,127,465,419,53%
HLE Lindarang,307,Master,294,103,392,353,53%
¹«Áú·®,308,Master,210,193,366,329,53%
¹«ÀÚºñÇÑ Èû,309,Master,294,63,234,190,55%
»õ¾î¾Ç,310,Master,293,185,1019,984,51%
Nabi,311,Master,293,135,426,386,52%
µÅÁöµÅÁö¸Ó¸®,312,Master,292,138,668,638,51%
