name,champ,cs,kda,kill,death,assist,winratio,play
justbepatient,Sejuani,CS 135.6 (5.4),4.54:1,4.0,2.9,9.4,54%,112
justbepatient,Camille,CS 138.8 (5.6),3.00:1,7.7,4.8,6.7,54%,107
justbepatient,Nocturne,CS 154.0 (6.3),2.88:1,7.3,4.7,6.2,51%,81
justbepatient,Ezreal,CS 231.9 (8.8),2.77:1,5.9,4.6,6.8,50%,68
justbepatient,Zac,CS 139.7 (5.0),4.74:1,4.2,3.1,10.3,50%,68
롤오브레전드1234,Alistar,CS 43.3 (1.6),2.73:1,1.8,4.8,11.4,56%,200
롤오브레전드1234,Braum,CS 56.4 (2.2),3.06:1,1.4,3.7,10.0,51%,145
롤오브레전드1234,Tahm Kench,CS 55.9 (2.2),2.36:1,2.0,4.6,9.0,53%,92
롤오브레전드1234,Karma,CS 144.4 (5.5),2.60:1,3.1,4.6,9.0,51%,74
롤오브레전드1234,Rakan,CS 16.0 (0.6),3.08:1,1.9,4.6,12.4,53%,60
롤오브레전드1234,Morgana,CS 20.3 (0.8),2.79:1,3.1,5.8,13.0,60%,45
롤오브레전드1234,Pyke,CS 42.4 (1.7),2.79:1,4.0,4.9,9.7,52%,42
롤스터단합KT,Gangplank,CS 215.7 (8.0),2.69:1,5.2,4.6,7.3,56%,178
롤스터단합KT,Camille,CS 181.6 (7.1),2.50:1,7.3,5.2,5.7,66%,118
롤스터단합KT,Singed,CS 172.9 (7.6),2.66:1,3.7,4.3,7.8,56%,73
롤스터단합KT,Darius,CS 186.0 (7.6),2.10:1,6.4,4.8,3.7,61%,71
롤스터단합KT,Gnar,CS 217.9 (7.9),2.64:1,5.7,4.5,6.2,54%,71
롤스터단합KT,Jayce,CS 195.8 (8.0),2.09:1,5.6,5.3,5.5,48%,71
롤스터단합KT,Swain,CS 188.7 (7.3),2.65:1,5.7,4.9,7.2,61%,70
LukaM0dric,Alistar,CS 40.4 (1.5),4.02:1,2.0,3.5,12.2,56%,45
LukaM0dric,Rakan,CS 17.3 (0.6),6.19:1,2.7,2.7,13.9,73%,40
LukaM0dric,Tahm Kench,CS 62.5 (2.3),4.73:1,2.2,2.8,10.9,62%,37
LukaM0dric,Shen,CS 61.4 (2.4),5.23:1,2.7,2.8,11.9,62%,34
LukaM0dric,Braum,CS 66.3 (2.5),4.83:1,1.3,2.9,12.8,71%,24
LukaM0dric,Taric,CS 65.5 (2.6),4.26:1,1.2,3.2,12.5,58%,19
LukaM0dric,Morgana,CS 21.4 (0.8),4.59:1,2.8,3.7,14.2,76%,17
다이어뎀,Ezreal,CS 204.3 (8.2),3.54:1,5.1,3.5,7.1,60%,298
다이어뎀,Xayah,CS 224.3 (8.7),3.22:1,5.9,3.9,6.5,61%,165
다이어뎀,Kai'Sa,CS 207.5 (8.5),2.94:1,6.4,4.0,5.5,60%,151
다이어뎀,Caitlyn,CS 237.6 (8.8),2.98:1,5.3,4.2,7.1,55%,91
다이어뎀,Yasuo,CS 201.0 (7.9),2.28:1,5.8,5.3,6.4,57%,70
다이어뎀,Jhin,CS 218.8 (8.4),3.32:1,5.9,3.8,6.7,51%,68
다이어뎀,Tristana,CS 215.8 (8.5),3.21:1,5.7,3.6,6.0,58%,62
Seroum,Kha'Zix,CS 132.1 (5.0),3.94:1,8.4,3.7,6.1,68%,131
Seroum,Camille,CS 115.1 (4.7),3.20:1,7.0,4.5,7.4,67%,79
Seroum,Nidalee,CS 153.8 (5.9),3.78:1,7.0,3.7,7.0,49%,73
Seroum,Gnar,CS 175.6 (7.3),2.60:1,3.6,3.2,4.7,49%,71
Seroum,Sejuani,CS 132.8 (4.8),4.08:1,3.5,3.5,10.5,50%,44
Seroum,Jarvan IV,CS 122.1 (4.6),4.91:1,4.0,3.1,11.3,56%,34
Seroum,Olaf,CS 121.8 (5.0),3.73:1,5.5,3.7,8.3,59%,27
