accountId,champId,avg_cs,avg_kda,avg_kill,avg_death,avg_assist,winratio,play_num
205213320,110,8.7,3.48,6.1,3.5,6.1,63,67
205213320,96,8.6,2.44,5.1,4.2,5.2,55,49
205213320,498,8.6,3.12,5.6,3.7,5.8,61,46
205213320,202,8.2,2.95,5,4,6.9,47,36
205213320,18,8.8,3.51,7.2,3.7,6,51,35
204024521,41,8.8,2.23,4.9,5,6.2,58,53
204024521,164,8.3,2.08,5.5,4.7,4.3,60,50
204024521,8,8.6,2.12,4.9,4.8,5.4,50,30
204024521,27,8.6,1.88,3.5,5.2,6.3,56,25
204024521,24,8.5,1.78,5.1,4.5,3,45,22
204024521,39,8.6,1.82,6.6,5.6,3.6,65,17
204024521,157,8.8,1.35,4.7,6.1,3.5,41,17
2474930,163,8.2,3.35,5.7,4,7.7,67,99
2474930,13,8.5,2.43,4.5,4.5,6.3,57,79
2474930,142,7.6,2.56,4.9,4.5,6.6,51,55
2474930,3,7.7,3.58,4.8,3.6,8.1,54,54
2474930,268,8.2,2.24,3.9,4,5.2,55,40
2474930,154,4.8,4.66,3.2,2.6,8.8,50,26
2474930,110,7.9,2.6,4.6,5.1,8.6,50,22
2373709,81,7.9,4.04,5.3,3.1,7.3,58,188
2373709,498,8.2,3.73,5.8,3.3,6.5,55,139
2373709,145,7.9,3.6,6.2,3.1,5,54,115
2373709,18,8.2,3.83,5.8,3,5.8,58,89
2373709,67,8.2,3.53,4.7,2.7,4.7,51,55
2373709,497,0.5,3.68,1.8,3.9,12.5,62,45
2373709,110,8.4,3.6,5.2,3.1,6,55,42
208537812,12,1.7,3.33,1.7,3.8,11,50,114
208537812,497,0.6,3.67,1.9,3.7,11.6,62,87
208537812,25,0.8,4.05,2.3,3.6,12.1,60,47
208537812,223,2.3,2.57,1.5,3.8,8.2,59,46
208537812,201,2.2,4.15,1.2,2.9,10.9,54,41
208537812,412,1,3.54,1.4,3.8,12,67,33
208537812,432,1,3.37,3.6,4.4,11.2,60,25
204672058,64,5,3.03,6.2,4.9,8.5,44,43
204672058,164,5.6,2.72,6.2,4.9,7.3,58,38
204672058,104,6.7,2.98,6,4.3,6.8,63,27
204672058,76,5.9,3.73,6.9,3.9,7.6,72,25
204672058,121,5.3,3.56,6.8,3.5,5.8,58,24
204672058,48,5.8,3.92,3.7,3.3,9.3,55,22
204672058,72,5.2,3.09,4,3.7,7.5,40,20
3863724,3,8.5,4.41,5.4,3.3,9.2,66,82
3863724,8,8.8,3.04,5.5,3.6,5.6,52,67
3863724,91,8.4,3.09,7.1,4.2,5.8,57,65
3863724,117,8.4,4.54,2.6,2.3,7.8,57,51
3863724,16,0.6,2.92,1.1,4.6,12.3,57,47
3863724,69,9.2,3.12,5.6,3.4,5,54,39
3863724,268,9.1,3.14,4.8,3.4,5.8,61,36
2915344,5,5.7,3.38,7.4,4,6.1,55,38
2915344,164,5.5,3.55,8.7,3.9,5.2,69,32
2915344,121,5.8,4.02,10.4,4.2,6.5,72,25
2915344,141,6.3,2.85,8.7,5.2,6.1,56,25
