name,champ,cs,kda,kill,death,assist,winratio,play
NiceJG,Lee Sin,CS 137.6 (5.8),3.04:1,8.2,5.0,7.0,55%,80
NiceJG,Camille,CS 141.6 (5.6),3.03:1,8.4,5.3,7.7,61%,69
NiceJG,Kha'Zix,CS 129.0 (5.2),2.81:1,8.5,5.3,6.5,52%,63
NiceJG,Graves,CS 171.7 (7.1),3.64:1,7.4,3.9,6.9,64%,56
NiceJG,Xin Zhao,CS 134.5 (5.7),2.63:1,6.4,5.0,6.8,67%,54
NiceJG,Jarvan IV,CS 142.4 (5.8),4.45:1,7.0,3.8,9.8,63%,32
NiceJG,Sejuani,CS 127.2 (5.2),3.73:1,4.9,4.0,10.0,54%,26
noooooooooooom,Ryze,CS 205.3 (8.6),3.01:1,5.1,3.6,5.7,55%,125
noooooooooooom,LeBlanc,CS 173.6 (7.5),3.50:1,6.9,3.3,4.6,58%,45
noooooooooooom,Azir,CS 218.9 (8.8),3.12:1,5.1,3.1,4.5,61%,38
noooooooooooom,Zoe,CS 187.9 (7.5),2.58:1,5.2,4.2,5.7,55%,29
noooooooooooom,Camille,CS 151.2 (6.0),2.41:1,6.1,5.1,6.1,53%,17
noooooooooooom,Taliyah,CS 212.9 (8.8),4.18:1,7.0,3.6,8.2,64%,11
noooooooooooom,Illaoi,CS 216.8 (8.2),1.35:1,3.2,5.7,4.4,56%,9
EhingXamsi,Tahm Kench,CS 59.9 (2.3),2.80:1,1.9,4.1,9.5,55%,83
EhingXamsi,Karma,CS 94.0 (3.7),2.93:1,2.8,4.1,9.4,50%,74
EhingXamsi,Janna,CS 20.0 (0.8),3.79:1,2.1,3.7,11.8,65%,72
EhingXamsi,Braum,CS 57.3 (2.3),3.44:1,1.2,3.6,11.3,60%,70
EhingXamsi,Alistar,CS 49.9 (2.0),2.78:1,1.8,4.2,9.9,55%,67
EhingXamsi,Leona,CS 54.5 (2.2),3.45:1,1.5,3.5,10.7,69%,52
EhingXamsi,Gragas,CS 46.3 (1.9),3.14:1,2.3,4.1,10.5,62%,52
DogRabbitCat,Zoe,CS 202.8 (8.0),3.49:1,6.0,3.6,6.5,54%,87
DogRabbitCat,Ryze,CS 234.5 (9.1),3.90:1,6.3,3.2,6.2,56%,80
DogRabbitCat,Azir,CS 264.0 (9.4),3.33:1,5.3,3.3,5.7,55%,76
DogRabbitCat,LeBlanc,CS 176.1 (6.8),3.83:1,7.5,3.7,6.8,61%,66
DogRabbitCat,Vladimir,CS 200.5 (8.1),2.80:1,5.8,4.0,5.5,49%,49
DogRabbitCat,Taliyah,CS 223.3 (9.0),4.09:1,6.1,3.1,6.7,55%,44
DogRabbitCat,Galio,CS 196.5 (7.6),3.27:1,5.7,4.3,8.2,45%,42
GIorie,Ryze,CS 223.2 (8.7),2.80:1,4.5,3.5,5.3,55%,86
GIorie,Ezreal,CS 196.2 (7.9),3.26:1,5.4,3.9,7.2,63%,78
GIorie,Azir,CS 210.5 (7.9),2.10:1,3.8,4.2,5.0,48%,29
GIorie,Corki,CS 237.5 (9.0),3.18:1,6.4,3.7,5.4,67%,27
GIorie,Caitlyn,CS 208.2 (8.1),2.59:1,4.7,4.3,6.4,42%,26
GIorie,Tristana,CS 188.0 (8.0),3.21:1,5.8,3.6,5.7,58%,24
GIorie,Zoe,CS 177.1 (7.2),2.27:1,5.3,4.5,4.8,42%,19
레몬나무,Caitlyn,CS 226.8 (8.9),3.11:1,5.4,3.7,6.2,57%,81
레몬나무,Ezreal,CS 222.6 (8.5),2.97:1,5.7,4.3,6.9,51%,72
레몬나무,Varus,CS 218.1 (8.7),3.48:1,6.1,3.5,6.1,63%,67
레몬나무,Kog'Maw,CS 212.5 (8.6),2.44:1,5.1,4.2,5.2,55%,49
레몬나무,Xayah,CS 203.5 (8.6),3.12:1,5.6,3.7,5.8,61%,46
레몬나무,Jhin,CS 200.4 (8.2),2.95:1,5.0,4.0,6.9,47%,36
레몬나무,Tristana,CS 224.8 (8.8),3.51:1,7.2,3.7,6.0,51%,35
aceerfa,Gangplank,CS 230.2 (8.8),2.23:1,4.9,5.0,6.2,58%,53
aceerfa,Camille,CS 206.6 (8.3),2.08:1,5.5,4.7,4.3,60%,50
aceerfa,Vladimir,CS 218.3 (8.6),2.12:1,4.9,4.8,5.4,50%,30
aceerfa,Singed,CS 197.4 (8.6),1.88:1,3.5,5.2,6.3,56%,25
aceerfa,Jax,CS 190.3 (8.5),1.78:1,5.1,4.5,3.0,45%,22
aceerfa,Irelia,CS 196.0 (8.6),1.82:1,6.6,5.6,3.6,65%,17
aceerfa,Yasuo,CS 225.8 (8.8),1.35:1,4.7,6.1,3.5,41%,17
단군의청춘부재,Taliyah,CS 211.6 (8.2),3.35:1,5.7,4.0,7.7,67%,99
단군의청춘부재,Ryze,CS 229.2 (8.5),2.43:1,4.5,4.5,6.3,57%,79
단군의청춘부재,Zoe,CS 198.5 (7.6),2.56:1,4.9,4.5,6.6,51%,55
단군의청춘부재,Galio,CS 210.5 (7.7),3.58:1,4.8,3.6,8.1,54%,54
단군의청춘부재,Azir,CS 212.8 (8.2),2.24:1,3.9,4.0,5.2,55%,40
단군의청춘부재,Zac,CS 117.2 (4.8),4.66:1,3.2,2.6,8.8,50%,26
단군의청춘부재,Varus,CS 231.8 (7.9),2.60:1,4.6,5.1,8.6,50%,22
엔페시아,Ezreal,CS 207.6 (7.9),4.04:1,5.3,3.1,7.3,58%,188
엔페시아,Xayah,CS 214.9 (8.2),3.73:1,5.8,3.3,6.5,55%,139
엔페시아,Kai'Sa,CS 190.0 (7.9),3.60:1,6.2,3.1,5.0,54%,115
엔페시아,Tristana,CS 208.1 (8.2),3.83:1,5.8,3.0,5.8,58%,89
엔페시아,Vayne,CS 202.1 (8.2),3.53:1,4.7,2.7,4.7,51%,55
엔페시아,Rakan,CS 12.7 (0.5),3.68:1,1.8,3.9,12.5,62%,45
엔페시아,Varus,CS 216.8 (8.4),3.60:1,5.2,3.1,6.0,55%,42
wyt0111,Alistar,CS 41.3 (1.7),3.33:1,1.7,3.8,11.0,50%,114
wyt0111,Rakan,CS 15.5 (0.6),3.67:1,1.9,3.7,11.6,62%,87
wyt0111,Morgana,CS 19.7 (0.8),4.05:1,2.3,3.6,12.1,60%,47
wyt0111,Tahm Kench,CS 59.1 (2.3),2.57:1,1.5,3.8,8.2,59%,46
wyt0111,Braum,CS 58.1 (2.2),4.15:1,1.2,2.9,10.9,54%,41
wyt0111,Thresh,CS 28.2 (1.0),3.54:1,1.4,3.8,12.0,67%,33
wyt0111,Bard,CS 27.5 (1.0),3.37:1,3.6,4.4,11.2,60%,25
JAGUmTi,Lee Sin,CS 143.7 (5.0),3.03:1,6.2,4.9,8.5,44%,43
JAGUmTi,Camille,CS 142.4 (5.6),2.72:1,6.2,4.9,7.3,58%,38
JAGUmTi,Graves,CS 174.3 (6.7),2.98:1,6.0,4.3,6.8,63%,27
JAGUmTi,Nidalee,CS 149.8 (5.9),3.73:1,6.9,3.9,7.6,72%,25
JAGUmTi,Kha'Zix,CS 134.3 (5.3),3.56:1,6.8,3.5,5.8,58%,24
JAGUmTi,Trundle,CS 156.2 (5.8),3.92:1,3.7,3.3,9.3,55%,22
JAGUmTi,Skarner,CS 130.9 (5.2),3.09:1,4.0,3.7,7.5,40%,20
Beproudofme,Galio,CS 240.8 (8.5),4.41:1,5.4,3.3,9.2,66%,82
Beproudofme,Vladimir,CS 234.1 (8.8),3.04:1,5.5,3.6,5.6,52%,67
